college_code,college_name,branch_id,branch_name,seat_type,category_code,percentile,is_tfws,is_ews
01012,"Government College of Engineering,Yavatmal",0101229310,Electrical Engineering,Other Than Home University Seats Allotted to Other Than Home University Candidates,GVJO,65.3627105,False,False
01012,"Government College of Engineering,Yavatmal",0101229310,Electrical Engineering,State Level,TFWS,73.8893284,True,False
01012,"Government College of Engineering,Yavatmal",0101229310,Electrical Engineering,State Level,ORPHAN,76.1358545,False,False
01012,"Government College of Engineering,Yavatmal",0101237210,Electronics and Telecommunication Engg,Home University Seats Allotted to Home University Candidates,GOPENH,75.6212581,False,False
01012,"Government College of Engineering,Yavatmal",0101237210,Electronics and Telecommunication Engg,Home University Seats Allotted to Home University Candidates,GNT1H,71.4038201,False,False
01012,"Government College of Engineering,Yavatmal",0101237210,Electronics and Telecommunication Engg,Home University Seats Allotted to Home University Candidates,GOBCH,72.5041736,False,False
01012,"Government College of Engineering,Yavatmal",0101237210,Electronics and Telecommunication Engg,Home University Seats Allotted to Home University Candidates,LOPENH,73.8893284,False,False
01012,"Government College of Engineering,Yavatmal",0101237210,Electronics and Telecommunication Engg,Home University Seats Allotted to Home University Candidates,LOBCH,67.5033807,False,False
01012,"Government College of Engineering,Yavatmal",0101237210,Electronics and Telecommunication Engg,Home University Seats Allotted to Home University Candidates,GSTH,72.1467831,False,False
01012,"Government College of Engineering,Yavatmal",0101237210,Electronics and Telecommunication Engg,Home University Seats Allotted to Other Than Home University Candidates,GSEBCH,73.4468855,False,False
01012,"Government College of Engineering,Yavatmal",0101237210,Electronics and Telecommunication Engg,Home University Seats Allotted to Other Than Home University Candidates,LSEBCH,66.1855163,False,False
01012,"Government College of Engineering,Yavatmal",0101237210,Electronics and Telecommunication Engg,Other Than Home University Seats Allotted to Other Than Home University Candidates,GOPENO,82.7099252,False,False
01012,"Government College of Engineering,Yavatmal",0101237210,Electronics and Telecommunication Engg,Other Than Home University Seats Allotted to Other Than Home University Candidates,GSCO,77.2074577,False,False
01012,"Government College of Engineering,Yavatmal",0101237210,Electronics and Telecommunication Engg,Other Than Home University Seats Allotted to Other Than Home University Candidates,GOBCO,79.5235744,False,False
01012,"Government College of Engineering,Yavatmal",0101237210,Electronics and Telecommunication Engg,Other Than Home University Seats Allotted to Other Than Home University Candidates,LOPENO,84.4941393,False,False
01012,"Government College of Engineering,Yavatmal",0101237210,Electronics and Telecommunication Engg,Other Than Home University Seats Allotted to Other Than Home University Candidates,LNT1O,25.6482713,False,False
01012,"Government College of Engineering,Yavatmal",0101237210,Electronics and Telecommunication Engg,Other Than Home University Seats Allotted to Other Than Home University Candidates,LOBCO,81.9801476,False,False
01012,"Government College of Engineering,Yavatmal",0101237210,Electronics and Telecommunication Engg,Other Than Home University Seats Allotted to Other Than Home University Candidates,LSTO,81.0485225,False,False
01012,"Government College of Engineering,Yavatmal",0101237210,Electronics and Telecommunication Engg,State Level,TFWS,78.9120215,True,False
01012,"Government College of Engineering,Yavatmal",0101237210,Electronics and Telecommunication Engg,State Level,EWS,43.1231034,False,True
01012,"Government College of Engineering,Yavatmal",0101237210,Electronics and Telecommunication Engg,State Level,DEFOPENS,84.8307457,False,False
01012,"Government College of Engineering,Yavatmal",0101237210,Electronics and Telecommunication Engg,State Level,ORPHAN,79.1872032,False,False
01012,"Government College of Engineering,Yavatmal",0101261210,Mechanical Engineering,Home University Seats Allotted to Home University Candidates,GOPENH,57.1959853,False,False
01012,"Government College of Engineering,Yavatmal",0101261210,Mechanical Engineering,Home University Seats Allotted to Home University Candidates,GSCH,44.4778985,False,False
01012,"Government College of Engineering,Yavatmal",0101261210,Mechanical Engineering,Home University Seats Allotted to Home University Candidates,GVJH,42.2200941,False,False
01012,"Government College of Engineering,Yavatmal",0101261210,Mechanical Engineering,Home University Seats Allotted to Home University Candidates,GNT3H,25.6482713,False,False
01012,"Government College of Engineering,Yavatmal",0101261210,Mechanical Engineering,Home University Seats Allotted to Home University Candidates,GOBCH,52.9935209,False,False
01012,"Government College of Engineering,Yavatmal",0101261210,Mechanical Engineering,Home University Seats Allotted to Home University Candidates,LOPENH,68.0717863,False,False
01012,"Government College of Engineering,Yavatmal",0101261210,Mechanical Engineering,Home University Seats Allotted to Home University Candidates,LOBCH,47.9842799,False,False
01012,"Government College of Engineering,Yavatmal",0101261210,Mechanical Engineering,Home University Seats Allotted to Home University Candidates,PWDOBCH,54.0859766,False,False
01012,"Government College of Engineering,Yavatmal",0101261210,Mechanical Engineering,Home University Seats Allotted to Other Than Home University Candidates,GSEBCH,75.1972801,False,False
01012,"Government College of Engineering,Yavatmal",0101261210,Mechanical Engineering,Other Than Home University Seats Allotted to Other Than Home University Candidates,GOPENO,65.4406319,False,False
01012,"Government College of Engineering,Yavatmal",0101261210,Mechanical Engineering,Other Than Home University Seats Allotted to Other Than Home University Candidates,GSCO,57.1543272,False,False
01012,"Government College of Engineering,Yavatmal",0101261210,Mechanical Engineering,Other Than Home University Seats Allotted to Other Than Home University Candidates,GSTO,60.546705,False,False
01012,"Government College of Engineering,Yavatmal",0101261210,Mechanical Engineering,Other Than Home University Seats Allotted to Other Than Home University Candidates,GVJO,27.9969458,False,False
01012,"Government College of Engineering,Yavatmal",0101261210,Mechanical Engineering,Other Than Home University Seats Allotted to Other Than Home University Candidates,GOBCO,60.2921536,False,False
01012,"Government College of Engineering,Yavatmal",0101261210,Mechanical Engineering,Other Than Home University Seats Allotted to Other Than Home University Candidates,LOPENO,65.9366282,False,False
01012,"Government College of Engineering,Yavatmal",0101261210,Mechanical Engineering,Other Than Home University Seats Allotted to Other Than Home University Candidates,GSTO,58.1588042,False,False
01012,"Government College of Engineering,Yavatmal",0101261210,Mechanical Engineering,Other Than Home University Seats Allotted to Other Than Home University Candidates,GSEBCO,62.795808,False,False
01012,"Government College of Engineering,Yavatmal",0101261210,Mechanical Engineering,State Level,TFWS,63.0701676,True,False
01012,"Government College of Engineering,Yavatmal",0101261210,Mechanical Engineering,State Level,EWS,21.3531102,False,True
01012,"Government College of Engineering,Yavatmal",0101261210,Mechanical Engineering,State Level,DEFOPENS,64.6500162,False,False
01012,"Government College of Engineering,Yavatmal",0101261210,Mechanical Engineering,State Level,DEFOBCS,65.2298851,False,False
01012,"Government College of Engineering,Yavatmal",0101261210,Mechanical Engineering,State Level,ORPHAN,60.1291862,False,False
01101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",0110124210,Computer Science and Engineering,Home University Seats Allotted to Home University Candidates,GOPENH,94.8262965,False,False
01101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",0110124210,Computer Science and Engineering,Home University Seats Allotted to Home University Candidates,GOBCH,93.8767748,False,False
01101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",0110124210,Computer Science and Engineering,Home University Seats Allotted to Home University Candidates,LOPENH,94.5996586,False,False
01101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",0110124210,Computer Science and Engineering,Home University Seats Allotted to Home University Candidates,LSEBCH,79.3458895,False,False
01101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",0110124610,Information Technology,Home University Seats Allotted to Home University Candidates,GSCH,85.3426422,False,False
01101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",0110124610,Information Technology,Other Than Home University Seats Allotted to Other Than Home University Candidates,GOPENO,93.6359026,False,False
01101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",0110124610,Information Technology,Other Than Home University Seats Allotted to Other Than Home University Candidates,GSCO,81.7098306,False,False
01101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",0110124610,Information Technology,Other Than Home University Seats Allotted to Other Than Home University Candidates,LSCO,82.1766955,False,False
