college_code,college_name,University
5164,"P.S.G.V.P. Mandal's D.N. Patel College of Engineering, Shahada, Dist. Nandurbar","Dr. Babasaheb Ambedkar Technological University,Lonere"
5168,"T.M.E. Society's J.T.Mahajan College of Engineering, Faizpur","Dr. Babasaheb Ambedkar Technological University,Lonere"
5169,"Nagaon  Education Society's Gangamai College of Engineering, Nagaon, Tal Dist Dhule","Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon"
5170,"Hindi Seva Mandal's Shri Sant Gadgebaba College of Engineering & Technology, Bhusawal","Dr. Babasaheb Ambedkar Technological University,Lonere"
5171,"Godavari Foundation's Godavari College Of Engineering,  Jalgaon","Dr. Babasaheb Ambedkar Technological University,Lonere"
5172,"R. C. Patel Institute of Technology, Shirpur","Dr. Babasaheb Ambedkar Technological University,Lonere"
5173,"SNJB's Late Sau. Kantabai Bhavarlalji Jain College of Engineering,  (Jain Gurukul), Neminagar,Chandwad,(Nashik)",Savitribai Phule Pune University
5177,"Matoshri College of Engineering and Research Centre, Eklahare, Nashik",Savitribai Phule Pune University
5179,"Vishwabharati Academy's College of Engineering, Ahmednagar",Savitribai Phule Pune University
5181,"Gokhale Education Society's, R.H. Sapat College of Engineering, Management Studies and Research, Nashik",Savitribai Phule Pune University
5182,"Kalyani Charitable Trust, Late Gambhirrao Natuba Sapkal College of Engineering, Anjaneri, Trimbakeshwar Road, Nashik",Savitribai Phule Pune University
5184,"Amruta Vaishnavi Education & Welfare Trust's Shatabdi Institute of Engineering & Research, Agaskhind Tal. Sinnar",Savitribai Phule Pune University
5244,"MET's Institute of Technology Polytechnic, Bhujbal Knowledge City, Adgaon Nashik","Dr. Babasaheb Ambedkar Technological University,Lonere"
5256,"Matoshri Education Soceity, Matoshri Asarabai Polytechnic,Nashik","Dr. Babasaheb Ambedkar Technological University,Lonere"
5263,"Matoshri Education Soceity, Matoshri Institute Of Technology, Dhanore, Nashik","Dr. Babasaheb Ambedkar Technological University,Lonere"
5303,"Hon. Shri. Babanrao Pachpute Vichardhara Trust, Group of Institutions (Integrated Campus)-Parikrama, Kashti Shrigondha,",Savitribai Phule Pune University
5322,"Jamia Institute Of Engineering And Management Studies, Akkalkuwa","Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon"
5330,"PUNE VIDYARTHI GRIHA’S COLLEGE OF ENGINEERING & SHRIKRUSHNA S. DHAMANKAR INSTITUTE OF MANAGEMENT, NASHIK",Savitribai Phule Pune University
5331,"Sandip Foundation's, Sandip Institute of Engineering & Management, Nashik",Savitribai Phule Pune University
5365,"Vardhaman Education & Welfare Society, Ahinsa Institute of Technology, Post. Dondaicha,  Dhule","Dr. Babasaheb Ambedkar Technological University,Lonere"
5370,"Kedareshwar Gramin Vikas Pratishthan, Samajbhushan Eknathrao Dhakane  College, of Engineering, Shevgaon","Dr. Babasaheb Ambedkar Technological University,Lonere"
5380,"Adsul's Technical Campus, Chas Dist. Ahmednagar",Savitribai Phule Pune University
5381,"Shri. Jaykumar Rawal Institute of Technology, Dondaicha.","Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon"
5382,"Ahmednagar Jilha Maratha Vidya Prasarak Samajache, Shri. Chhatrapati Shivaji Maharaj College of Engineering, Nepti",Savitribai Phule Pune University
5390,"K.V.N. Naik S. P. Sansth's Loknete Gopinathji Munde Institute of Engineering Education & Research, Nashik.",Savitribai Phule Pune University
5396,"College of Engineering and Technology ,North Maharashtra Knowledge City, Jalgaon","Dr. Babasaheb Ambedkar Technological University,Lonere"
5399,"Sanghavi College of Engineering, Varvandi, Nashik.",Savitribai Phule Pune University
5401,"Jawahar Education Society's Institute of Technology, Management & Research, Nashik.",Savitribai Phule Pune University
5408,"Vidya Niketan College of Engineering, Bota Sangamner",Savitribai Phule Pune University
5409,"Rajiv Gandhi College of Engineering, At Post Karjule Hariya Tal.Parner, Dist.Ahmednagar",Savitribai Phule Pune University
5411,"Maulana Mukhtar Ahmad Nadvi Technical Campus, Malegaon.",Savitribai Phule Pune University
5418,"Guru Gobind Singh College of Engineering & Research Centre, Nashik.",Savitribai Phule Pune University
5433,"R.C. Patel College of Engineering and Polytechnic, Shirpur","Dr. Babasaheb Ambedkar Technological University,Lonere"
5449,"Shri Vile Parle Kelavani Mandal's Institute of Technology, Dhule","Dr. Babasaheb Ambedkar Technological University,Lonere"
5497,"P.G. College of Engineering & Technology, Nandurbar","Dr. Babasaheb Ambedkar Technological University,Lonere"
5509,"Shri Swami Samarth Institute of Management and Technology, Malwadi-Bota","Dr. Babasaheb Ambedkar Technological University,Lonere"
5513,"MKD Institute of Technology, Nadurbar","Dr. Babasaheb Ambedkar Technological University,Lonere"
6004,"Government College of Engineering & Research, Avasari Khurd",Savitribai Phule Pune University
6005,"Government College of Engineering, Karad",Shivaji University
6007,"Walchand College of Engineering, Sangli",Shivaji University
6028,"Department of Technology, Shivaji University, Kolhapur",Shivaji University
6036,"Government College of Engineering, Kolhapur","Dr. Babasaheb Ambedkar Technological University,Lonere"
6122,"TSSMS's Pd. Vasantdada Patil Institute of Technology, Bavdhan, Pune",Savitribai Phule Pune University
6138,"Genba Sopanrao Moze Trust Parvatibai Genba Moze College of Engineering,Wagholi, Pune",Savitribai Phule Pune University
6139,"Progressive Education Society's Modern College of Engineering, Pune",Savitribai Phule Pune University
6141,"Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of Engineering, Tathawade, Pune",Savitribai Phule Pune University
6144,"Genba Sopanrao Moze College of Engineering, Baner-Balewadi, Pune",Savitribai Phule Pune University
6145,"JSPM'S Jaywantrao Sawant College of Engineering,Pune",Savitribai Phule Pune University
6146,"MIT Academy of Engineering,Alandi, Pune",Savitribai Phule Pune University
6149,"Siddhant College of Engineering, A/p Sudumbare, Tal.Maval, Dist-Pune",Savitribai Phule Pune University
6155,"G.H.Raisoni College of Engineering & Management, Wagholi, Pune",Savitribai Phule Pune University
6156,"Marathwada Mitra Mandal's College of Engineering, Karvenagar, Pune",Savitribai Phule Pune University
6175,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune",Savitribai Phule Pune University
6177,"Sinhgad College of Engineering, Vadgaon (BK), Pune",Savitribai Phule Pune University
6178,"Sinhgad Technical Education Society's Smt. Kashibai Navale College of Engineering,Vadgaon,Pune",Savitribai Phule Pune University
6179,"Indira College of Engineering & Management, Pune",Savitribai Phule Pune University
6182,"Sinhgad Technical Education Society, Sinhgad Institute of Technology and Science, Narhe (Ambegaon)",Savitribai Phule Pune University
6183,"Al-Ameen Educational and Medical Foundation, College of Engineering, Koregaon, Bhima",Savitribai Phule Pune University
6184,"K. J.'s Educational Institut Trinity College of Engineering and Research, Pisoli, Haveli",Savitribai Phule Pune University
6185,Sinhgad Institute of Technology,Savitribai Phule Pune University
6187,"Sinhgad Academy of Engineering, Kondhwa (BK)  Kondhwa-Saswad Road, Pune",Savitribai Phule Pune University
6203,"Marathwada Mitra Mandal's Institute of Technology, Lohgaon, Pune",Savitribai Phule Pune University
6206,"Pune District Education  Association's College of Engineering, Manjari(Bk), Hadapsar, Pune",Savitribai Phule Pune University
6207,"Dr. D. Y. Patil Unitech Society's Dr. D. Y. Patil  Institute of Technology, Pimpri, Pune",Savitribai Phule Pune University
6214,"K. E. Society's Rajarambapu Institute of Technology, Walwa, Sangli",Shivaji University
6217,"Shri. Balasaheb Mane Shikshan  Prasarak Mandal's, Ashokrao Mane Group of Institutions","Dr. Babasaheb Ambedkar Technological University,Lonere"
6219,"KSGBS's Bharat- Ratna Indira Gandhi College of Engineering, Kegaon, Solapur","Dr. Babasaheb Ambedkar Technological University,Lonere"
6220,"Shri Vithal Education and Research Institute's College of Engineering, Pandharpur",Punyashlok Ahilyadevi Holkar Solapur University
6222,"Dattajirao Kadam Technical Education Society's Textile & Engineering Institute, Ichalkaranji.",Shivaji University
6223,"Pradnya Niketan Education Society's Nagesh Karajagi Orchid College of Engineering & Technology, Solapur","Dr. Babasaheb Ambedkar Technological University,Lonere"
