Rank,Percentile,Choice Code,Merit Exam
10395,89.2384640,0320124510,JEE(Main)-2024
11421,88.3203208,0320199510,JEE(Main)-2024
86003,14.3670255,0320290010,JEE(Main)-2024
61110,45.2445766,0320224510,JEE(Main)-2024
18609,81.7745907,0320390010,JEE(Main)-2024
26320,74.7742358,0320337210,JEE(Main)-2024
34256,68.1212955,0320329310,JEE(Main)-2024
12653,87.1844010,0320324510,JEE(Main)-2024
15040,85.0419414,0320324610,JEE(Main)-2024
17458,82.7686005,0320429310,JEE(Main)-2024
13744,86.1641248,0320437210,JEE(Main)-2024
12306,87.4990650,0320490010,JEE(Main)-2024
8216,91.2411348,0320492110,JEE(Main)-2024
6673,92.6824720,0320424510,JEE(Main)-2024
7842,91.6054439,0320424610,JEE(Main)-2024
26499,74.5994626,0320461210,JEE(Main)-2024
166666,33.5585964,0320629310,MHT-CET
174252,24.4231968,0320662410,MHT-CET
188927,1.6171274,0320661210,MHT-CET
22985,77.8322511,0320656610,JEE(Main)-2024
61064,45.3164723,0320691110,JEE(Main)-2024
86432,13.5512762,0320690010,JEE(Main)-2024
48973,55.8362630,0320624510,JEE(Main)-2024
11885,87.8125666,0320724610,JEE(Main)-2024
15875,84.2471428,0320790010,JEE(Main)-2024
29901,71.8011248,0320761210,JEE(Main)-2024
10788,88.8546124,0320724510,JEE(Main)-2024
19093,81.3266412,0320737210,JEE(Main)-2024
34440,67.8813538,0320760210,JEE(Main)-2024
7367,92.0869394,0320824610,JEE(Main)-2024
6037,93.2917186,0320824510,JEE(Main)-2024
13635,86.2828760,0320837210,JEE(Main)-2024
25271,75.7901666,0320861210,JEE(Main)-2024
4639,94.5520602,0320937210,JEE(Main)-2024
4214,94.9581147,0320999510,JEE(Main)-2024
2934,96.1987432,0320924510,JEE(Main)-2024
3916,95.2492023,0320924610,JEE(Main)-2024
33670,68.6174754,0321037210,JEE(Main)-2024
27652,73.7173337,0321024610,JEE(Main)-2024
23155,77.6558450,0321024510,JEE(Main)-2024
6147,93.2038376,0321124510,JEE(Main)-2024
10550,89.0565174,0321190010,JEE(Main)-2024
10181,89.4363827,0321192110,JEE(Main)-2024
10195,89.4276667,0321192010,JEE(Main)-2024
8455,91.0448398,0321199510,JEE(Main)-2024
7839,91.6054439,0321124610,JEE(Main)-2024
14068,85.8963155,0321137210,JEE(Main)-2024
174498,24.3094646,0321219110,MHT-CET
33897,68.3359129,0321224510,JEE(Main)-2024
11241,88.4954015,0321437210,JEE(Main)-2024
7749,91.6746484,0321492010,JEE(Main)-2024
6438,92.9169333,0321424510,JEE(Main)-2024
8243,91.2334144,0321424610,JEE(Main)-2024
613,98.8014556,0321524210,JEE(Main)-2024
1225,97.9944274,0321537210,JEE(Main)-2024
652,98.7589230,0321524510,JEE(Main)-2024
65051,41.4812919,0321624510,JEE(Main)-2024
60262,46.0832398,0321691110,JEE(Main)-2024
82073,21.1825746,0321637210,JEE(Main)-2024
164458,35.6703287,0321661210,MHT-CET
145323,53.8203081,0321650710,MHT-CET
187235,5.0055145,0321619110,MHT-CET
160869,39.5390798,0321791610,MHT-CET
70409,36.1142708,0321737210,JEE(Main)-2024
41958,61.6843972,0321724510,JEE(Main)-2024
29487,72.1862872,0321891210,JEE(Main)-2024
34415,67.8982939,0321890010,JEE(Main)-2024
22455,78.2179976,0321824510,JEE(Main)-2024
29250,72.3618700,0321892110,JEE(Main)-2024
26894,74.3948499,0321824610,JEE(Main)-2024
58673,47.4238693,0321861210,JEE(Main)-2024
181379,15.1214416,0321819110,MHT-CET
87126,11.8688758,0321937210,JEE(Main)-2024
76348,29.3650075,0321929310,JEE(Main)-2024
187948,3.6167117,0321919110,MHT-CET
57913,48.1018012,0321924510,JEE(Main)-2024
61865,44.4375985,0321991110,JEE(Main)-2024
38297,64.7153175,0321924610,JEE(Main)-2024
54643,50.9711006,0322024510,JEE(Main)-2024
74369,31.6655269,0322019110,JEE(Main)-2024
44726,59.4141074,0322025210,JEE(Main)-2024
61121,45.2445766,0322024610,JEE(Main)-2024
70347,36.1313730,0322092110,JEE(Main)-2024
170000,29.6395567,0322037210,MHT-CET
151693,48.0648514,0322161210,MHT-CET
64781,42.0212766,0322192610,JEE(Main)-2024
47545,57.2424075,0322191110,JEE(Main)-2024
141100,57.2163252,0322119110,MHT-CET
56073,49.5814558,0322137210,JEE(Main)-2024
31295,70.5982353,0322124510,JEE(Main)-2024
33885,68.3359129,0322224510,JEE(Main)-2024
45024,59.2301802,0322224610,JEE(Main)-2024
189479,0.1846877,0322260210,MHT-CET
70196,36.3198089,0322229310,JEE(Main)-2024
58426,47.5550319,0322291110,JEE(Main)-2024
153373,46.5102928,0322261210,MHT-CET
176732,21.4728090,0322219110,MHT-CET
62003,44.2947607,0322361210,JEE(Main)-2024
